á.	 'a
ambulação.	 ,&~Nbulas'&U~
ambular.	 ,&~Nbul'ar
ambulativo.	 ,&~NbulatS'ivU
ambulatorial.	 ,&~Nbul,ato*i;'aU
ambulatriz.	 ,&~NbulatR'is
ambulicino.	 ,&~Nbulis'inU
ambulância.	 ,&~Nbul'&~Nsj&
ambulomancia.	 ,&~Nbul,om&~Ns'i;&
ambulípede.	 ,&~Nbul'ipedZy
ambuém-do-obó.	 ,&~Nbu'eINdUob'O
ambundo.	 ,&~Nb'u~NdU
ambuéns-do-obó.	 ,&~Nbu'eINzdUob'O
mbrola: Warning: z-d unkown, replaced with _-_
amburana.	 ,&~Nbu*'&~n&
amburbal.	 ,&~Nbu*@-b'aU
mbrola: Warning: r-b unkown, replaced with _-_
amburbial.	 ,&~Nbu*@-bi;'aU
mbrola: Warning: r-b unkown, replaced with _-_
ambusida.	 ,&~Nbuz'id&
ambustão.	 ,&~Nbust'&U~
ambívio.	 ,&~Nb'ivjU
amácrina.	 ,&m'akRin&
amíctico.	 ,&m'iktSikU
mbrola: Warning: k-t unkown, replaced with _-_
amículo.	 ,&m'ikulU
amídala.	 ,&m'id&l&
amídico.	 ,&m'idZikU
amádigo.	 ,&m'adZigU
amódita.	 ,&m'OdZit&
ameça.	 ,&m'es&
ameaçação.	 ,&me,asas'&U~
ameaçar.	 ,&meas'ar
ameaçativo.	 ,&me,asatS'ivU
ameaçazinha.	 ,&me,asaz'in^&
amealhanço.	 ,&meal^'&~NsU
amealhar.	 ,&meal^'ar
ameandoca.	 ,&me&~Nd'Ok&
ameaços.	 ,&me'asUs
amear.	 ,&me'ar
ameaçável.	 ,&meas'aveU
ameba.	 ,&m'Eb&
amebíase.	 ,&meb'i;&zy
amebócito.	 ,&meb'OsitU
amebídeo.	 ,&meb'idZjU
amebeu.	 ,&meb'eU
amebiano.	 ,&mebi;'&~nU
amebicídio.	 ,&mebis'idZjU
amebicida.	 ,&mebis'id&
amebiforme.	 ,&mebif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amebino.	 ,&meb'inU
amebismo.	 ,&meb'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amebite.	 ,&meb'itSy
amebito.	 ,&meb'itU
amebocítico.	 ,&mebos'itSikU
amebogênio.	 ,&meboZ'enjU
ameboide.	 ,&meb'OIdZy
amebose.	 ,&meb'Ozy
ameboísmo.	 ,&mebo'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amebosporídeo.	 ,&meb,ospo*'idZjU
ameboísta.	 ,&mebo'ist&
ameboístico.	 ,&mebo'istSikU
amebozigoto.	 ,&meb,ozig'otU
amebozigótico.	 ,&meb,ozig'OtSikU
amebúrico.	 ,&meb'u*ikU
amebístico.	 ,&meb'istSikU
amebótico.	 ,&meb'OtSikU
amebucorte.	 ,&mebuk'O*@-tSy
mbrola: Warning: r-t unkown, replaced with _-_
ameburia.	 ,&mebu*'i;&
amedalhação.	 ,&med,al^as'&U~
amedalina.	 ,&medal'in&
amedarense.	 ,&meda*'eINsy
amedeia.	 ,&med'eI;&
amedinação.	 ,&medZ,inas'&U~
amedinar.	 ,&medZin'ar
amediplase.	 ,&medZipl'azy
amedorentar.	 ,&med,o*eINt'ar
amedrentar.	 ,&medReINt'ar
amedronhar.	 ,&medRon^'ar
amedrontação.	 ,&medR,oNtas'&U~
amedrontar.	 ,&medRoNt'ar
amedrontável.	 ,&medRoNt'aveU
ameghinita.	 ,&megin'it&
ameia.	 ,&m'eI;&
ameiar.	 ,&meI;'ar
ameigável.	 ,&meIg'aveU
ameija.	 ,&m'eIZ&
ameijoar.	 ,&meIZo'ar
ameijua.	 ,&meIZ'u&
ameijuba.	 ,&meIZ'ub&
ameiva.	 ,&m'eIv&
ameivídeo.	 ,&meIv'idZjU
ameixa.	 ,&m'eIS&
ameixa-amarela.	 ,&m'eIS&,&ma*'El&
ameixa-americana.	 ,&m'eIS&,&me*ik'&~n&
ameixa-da-baía.	 ,&m'eIS&dab,a'i;&
ameixa-da-terra.	 ,&m'eIS&dat'Ex&
ameixa-de-espinho.	 ,&m'eIS&dZj,esp'in^U
ameixa-de-madagascar.	 ,&m'eIS&dZym,adagask'ar
ameixa-do-canadá.	 ,&m'eIS&dUk,&nad'a
ameixa-do-japão.	 ,&m'eIS&dUZap'&U~
ameixa-do-malabar.	 ,&m'eIS&dUm,alab'ar
ameixa-do-pará.	 ,&m'eIS&dUpa*'a
ameixa-japonesa.	 ,&m'eIS&Z,apon'ez&
ameixal.	 ,&meIS'aU
ameixa-preta.	 ,&m'eIS&pR'et&
ameixas-amarelas.	 ,&m'eIS&z,&ma*'El&s
ameixas-americanas.	 ,&m'eIS&z,&me*ik'&~n&s
ameixas-da-baía.	 ,&m'eIS&sdab,a'i;&
ameixas-da-terra.	 ,&m'eIS&sdat'Ex&
ameixas-de-espinho.	 ,&m'eIS&sdZj,esp'in^U
ameixas-de-madagascar.	 ,&m'eIS&sdZym,adagask'ar
ameixas-do-canadá.	 ,&m'eIS&sdUk,&nad'a
ameixas-do-japão.	 ,&m'eIS&sdUZap'&U~
ameixas-do-malabar.	 ,&m'eIS&sdUm,alab'ar
ameixas-do-pará.	 ,&m'eIS&sdUpa*'a
ameixas-japonesas.	 ,&m'eIS&sZ,apon'ez&s
ameixas-pretas.	 ,&m'eIS&spR'et&s
ameixeira.	 ,&meIS'eI*&
ameixeira-brava.	 ,&meIS'eI*&bR'av&
ameixeira-da-pérsia.	 ,&meIS'eI*&dap'E*@-sj&
mbrola: Warning: r-s unkown, replaced with _-_
ameixeira-de-porto-natal.	 ,&meIS'eI*&dZyp'o*@-tUnat'aU
mbrola: Warning: r-t unkown, replaced with _-_
ameixeira-do-brasil.	 ,&meIS'eI*&dUbRaz'iU
ameixeira-do-japão.	 ,&meIS'eI*&dUZap'&U~
ameixeira-do-pará.	 ,&meIS'eI*&dUpa*'a
ameixeiras-bravas.	 ,&meIS'eI*&sbR'av&s
ameixeiras-da-pérsia.	 ,&meIS'eI*&sdap'E*@-sj&
mbrola: Warning: r-s unkown, replaced with _-_
ameixeiras-de-porto-natal.	 ,&meIS'eI*&sdZyp'o*@-tUnat'aU
mbrola: Warning: r-t unkown, replaced with _-_
ameixeiras-do-brasil.	 ,&meIS'eI*&sdUbRaz'iU
ameixeiras-do-japão.	 ,&meIS'eI*&sdUZap'&U~
ameixeiras-do-pará.	 ,&meIS'eI*&sdUpa*'a
ameixense.	 ,&meIS'eINsy
ameixial.	 ,&meISi;'aU
ameixieira.	 ,&meISi;'eI*&
ameixoal.	 ,&meISo'aU
ameju.	 ,&meZ'u
amelaçar.	 ,&melas'ar
amelado.	 ,&mel'adU
amelanotipia.	 ,&mel,&notSip'i;&
amelécia.	 ,&mel'Esj&
ameleia.	 ,&mel'eI;&
amelenado.	 ,&melen'adU
amelhorado.	 ,&mel^o*'adU
amelia.	 ,&mel'i;&
Amelia-PR.	 ,&mel'i;&p,e'Exe
ameliense.	 ,&meli;'eINsy
amelina.	 ,&mel'in&
Amelinha.	 ,&mel'in^&
ameliopolense.	 ,&mel,i;opol'eINsy
ameliopolitano.	 ,&mel,i;op,olit'&~nU
Amelita.	 ,&mel'it&
amelo.	 ,&m'ElU
ameloado.	 ,&melo'adU
ameloblasto.	 ,&melobl'astU
ameloblastoma.	 ,&mel,oblast'om&
ameloblástico.	 ,&melobl'astSikU
amelodentinária.	 ,&mel,odeINtSin'a*j&
amelogenina.	 ,&mel,oZen'in&
amelogenético.	 ,&mel,oZen'EtSikU
amelogênese.	 ,&meloZ'enezy
ameloma.	 ,&mel'om&
amelopia.	 ,&melop'i;&
amelópico.	 ,&mel'OpikU
amelpo.	 ,&m'EUpU
amelétia.	 ,&mel'EtSj&
ameltolida.	 ,&mEUtol'id&
amelubante.	 ,&melub'&~NtSy
amelubanto.	 ,&melub'&~NtU
amembranar.	 ,&meImbR&n'ar
amendina.	 ,&meINdZ'in&
amendoí.	 ,&meINdo'i
amendoado.	 ,&meINdo'adU
amendoal.	 ,&meINdo'aU
amendoeira.	 ,&meINdo'eI*&
amendoeira-coca.	 ,&meINdo'eI*&k'Ok&
amendoeira-da-américa.	 ,&meINdo'eI*&da,&m'E*ik&
amendoeira-da-índia.	 ,&meINdo'eI*&da'iNdZj&
amendoeira-da-praia.	 ,&meINdo'eI*&dapR'aI;&
amendoeira-de-coco.	 ,&meINdo'eI*&dZyk'okU
amendoeira-do-japão.	 ,&meINdo'eI*&dUZap'&U~
amendoeira-dos-andes.	 ,&meINdo'eI*&dUz'&~NdZys
amendoeira-durázia.	 ,&meINdo'eI*&d,u*'azj&
amendoeira-molar.	 ,&meINdo'eI*&mol'ar
amendoeirana.	 ,&meINd,oeI*'&~n&
amendoeiras-coca.	 ,&meINdo'eI*&sk'Ok&
amendoeiras-da-américa.	 ,&meINdo'eI*&sda,&m'E*ik&
amendoeiras-da-índia.	 ,&meINdo'eI*&sda'iNdZj&
amendoeiras-da-praia.	 ,&meINdo'eI*&sdapR'aI;&
amendoeiras-de-coco.	 ,&meINdo'eI*&sdZyk'okU
amendoeiras-do-japão.	 ,&meINdo'eI*&sdUZap'&U~
amendoeiras-dos-andes.	 ,&meINdo'eI*&sdUz'&~NdZys
amendoeiras-durázias.	 ,&meINdo'eI*&sd,u*'azj&s
amendoeiras-molares.	 ,&meINdo'eI*&sm,ol'a*ys
amendoim.	 ,&meINdo'iN
amendoim-bravo.	 ,&meINdo'iNbR'avU
amendoim-de-árvore.	 ,&meINdo'iNdZj'a*@-vo*y
mbrola: Warning: r-v unkown, replaced with _-_
amendoim-de-veado.	 ,&meINdo'iNdZyv,e'adU
amendoim-do-maranhão.	 ,&meINdo'iNdUm,a*&~n^'&U~
amendoim-falso.	 ,&meINdo'iNf'aUsU
amendoim-rajado.	 ,&meINdo'iNx,aZ'adU
amendoim-rasteiro.	 ,&meINdo'iNx,ast'eI*U
amendoim-roxo.	 ,&meINdo'iNx'oSU
amendoins-bravos.	 ,&meINdo'iNzbR'avUs
mbrola: Warning: z-b unkown, replaced with _-_
amendoins-de-árvore.	 ,&meINdo'iNzdZj'a*@-vo*y
mbrola: Warning: z-d unkown, replaced with _-_
mbrola: Warning: r-v unkown, replaced with _-_
amendoins-de-veado.	 ,&meINdo'iNzdZyv,e'adU
mbrola: Warning: z-d unkown, replaced with _-_
amendoins-do-maranhão.	 ,&meINdo'iNzdUm,a*&~n^'&U~
mbrola: Warning: z-d unkown, replaced with _-_
amendoins-falsos.	 ,&meINdo'iNs#f'aUsUs
amendoins-rajados.	 ,&meINdo'iNs#x,aZ'adUs
amendoins-rasteiros.	 ,&meINdo'iNs#x,ast'eI*Us
amendoins-roxos.	 ,&meINdo'iNs#x'oSUs
amendoirana.	 ,&meINdoI*'&~n&
amendoína.	 ,&meINdo'in&
Amenemés.	 ,&menem'Es
amenia.	 ,&men'i;&
amenidão.	 ,&menid'&U~
ameninar.	 ,&menin'ar
amenização.	 ,&men,izas'&U~
amenizar.	 ,&meniz'ar
amenizável.	 ,&meniz'aveU
amenômano.	 ,&men'om&nU
ameno.	 ,&m'enU
amenomaníaco.	 ,&men,om&n'i;&kU
amenomania.	 ,&men,om&n'i;&
amenorreica.	 ,&menox'eIk&
amenosiar.	 ,&men,ozi;'ar
amenoso.	 ,&men'ozU
amental.	 ,&meINt'aU
amentáceo.	 ,&meINt'aseU
amentífero.	 ,&meINtS'ife*U
amentifloro.	 ,&meINtSifl'O*U
amentiforme.	 ,&meINtSif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amentilho.	 ,&meINtS'il^U
amentilhoso.	 ,&meINtSil^'ozU
amentio.	 ,&meINtS'iU
amentolia.	 ,&meINtol'i;&
amentos.	 ,&m'eINtUs
ameraba.	 ,&me*'ab&
amerade.	 ,&me*'adZy
amerceadura.	 ,&me*@-s,ead'u*&
mbrola: Warning: r-s unkown, replaced with _-_
amerceável.	 ,&me*@-se'aveU
mbrola: Warning: r-s unkown, replaced with _-_
amerício.	 ,&me*'isjU
amereurasiático.	 ,&me*,eU*azi;'atSikU
amerígeno.	 ,&me*'iZenU
amerger.	 ,&me*@-Z'er
mbrola: Warning: r-j unkown, replaced with _-_
amerguçar.	 ,&me*@-gus'ar
mbrola: Warning: r-g unkown, replaced with _-_
Americana.	 ,&me*ik'&~n&
americana-brasileira.	 ,&me*ik'&~n&bR,azil'eI*&
americana-canadense.	 ,&me*ik'&~n&k,&nad'eINsy
americanada.	 ,&me*,ik&n'ad&
Americanas.	 ,&me*ik'&~n&s
americanas-canadenses.	 ,&me*ik'&~n&sk,&nad'eINsys
Americana-SP.	 ,&me*ik'&~n&,Esyp'e
americana-venezuelana.	 ,&me*ik'&~n&v,enez,uel'&~n&
americanense.	 ,&me*,ik&n'eINsy
americanófilo.	 ,&me*,ik&n'OfilU
americanófobo.	 ,&me*,ik&n'OfobU
americanice.	 ,&me*,ik&n'isy
americanista.	 ,&me*,ik&n'ist&
americanite.	 ,&me*,ik&n'itSy
americanização.	 ,&me*,ik&n,izas'&U~
americanizar.	 ,&me*,ik&niz'ar
americanizável.	 ,&me*,ik&niz'aveU
americanólogo.	 ,&me*,ik&n'OlogU
americanômano.	 ,&me*,ik&n'om&nU
americano.	 ,&me*ik'&~nU
americano-brasileiro.	 ,&me*ik'&~nUbR,azil'eI*U
americano-canadense.	 ,&me*ik'&~nUk,&nad'eINsy
americano-do-norte.	 ,&me*ik'&~nUdUn'O*@-tSy
mbrola: Warning: r-t unkown, replaced with _-_
americanofóbico.	 ,&me*,ik&nof'ObikU
americanofilia.	 ,&me*,ik&n,ofil'i;&
americanofilismo.	 ,&me*,ik&n,ofil'izmU
mbrola: Warning: z-m unkown, replaced with _-_
americanofilístico.	 ,&me*,ik&n,ofil'istSikU
americanofobia.	 ,&me*,ik&n,ofob'i;&
americanológico.	 ,&me*,ik&nol'OZikU
americanologia.	 ,&me*,ik&n,oloZ'i;&
americanomaníaco.	 ,&me*,ik&n,om&n'i;&kU
americanomania.	 ,&me*,ik&n,om&n'i;&
americanos-canadenses.	 ,&me*ik'&~nUsk,&nad'eINsys
americanos-do-norte.	 ,&me*ik'&~nUsdUn'O*@-tSy
mbrola: Warning: r-t unkown, replaced with _-_
americano-soviético.	 ,&me*ik'&~nUs,ovj'EtSikU
americano-venezuelano.	 ,&me*ik'&~nUv,enez,uel'&~nU
Americanópolis.	 ,&me*,ik&n'Opolis
americanístico.	 ,&me*,ik&n'istSikU
americófilo.	 ,&me*ik'OfilU
americófobo.	 ,&me*ik'OfobU
americina.	 ,&me*is'in&
americômano.	 ,&me*ik'om&nU
americofóbico.	 ,&me*,ikof'ObikU
americofilia.	 ,&me*,ikofil'i;&
americofilismo.	 ,&me*,ikofil'izmU
mbrola: Warning: z-m unkown, replaced with _-_
americofilístico.	 ,&me*,ikofil'istSikU
americofobia.	 ,&me*,ikofob'i;&
americologia.	 ,&me*,ikoloZ'i;&
americomaníaco.	 ,&me*,ikom&n'i;&kU
americomania.	 ,&me*,ikom&n'i;&
amerigada.	 ,&me*ig'ad&
Amerigo.	 ,&me*'igU
amerinado.	 ,&me*in'adU
amerindigenismo.	 ,&me*,iNdZiZen'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amerismo.	 ,&me*'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amerissagem.	 ,&me*is'aZeIN
amerissar.	 ,&me*is'ar
amerita.	 ,&me*'it&
ameríncolo.	 ,&me*'iNkolU
ameríndio.	 ,&me*'iNdZjU
amerospóreo.	 ,&me*osp'O*eU
amerrissagem.	 ,&mexis'aZeIN
amerrissar.	 ,&mexis'ar
amerósporo.	 ,&me*'Ospo*U
amerstia.	 ,&me*@-stS'i;&
mbrola: Warning: r-s2 unkown, replaced with _-_
amesendar.	 ,&mezeINd'ar
amesendrar.	 ,&mezeINdR'ar
amesergida.	 ,&meze*@-Z'id&
mbrola: Warning: r-j unkown, replaced with _-_
amesita.	 ,&mez'it&
amesquinhável.	 ,&meskin^'aveU
amesterdanês.	 ,&mest,e*@-d&~n'es
mbrola: Warning: r-d unkown, replaced with _-_
Amesterdão.	 ,&meste*@-d'&U~
mbrola: Warning: r-d unkown, replaced with _-_
amestrar.	 ,&mestR'ar
amestratino.	 ,&mestRatS'inU
amestrável.	 ,&mestR'aveU
ametabólico.	 ,&metab'OlikU
ametabolismo.	 ,&met,abol'izmU
mbrola: Warning: z-m unkown, replaced with _-_
ametalar.	 ,&metal'ar
ametamorfo.	 ,&met&m'o*@-fU
mbrola: Warning: r-f unkown, replaced with _-_
ametamorfótico.	 ,&met,&mo*@-f'OtSikU
mbrola: Warning: r-f unkown, replaced with _-_
ametamórfico.	 ,&met&m'O*@-fikU
mbrola: Warning: r-f unkown, replaced with _-_
ametantrona.	 ,&met&~NtR'on&
amete.	 ,&m'EtSy
ametino.	 ,&metS'inU
ametisa.	 ,&metS'iz&
ametista-oriental.	 ,&metS'ist&,o*i;eINt'aU
ametistas-orientais.	 ,&metS'ist&z,o*i;eINt'aIs
ametistino.	 ,&metSistS'inU
ametisto.	 ,&metS'istU
ametoico.	 ,&met'OIkU
ametrope.	 ,&metR'Opy
ametropia.	 ,&metRop'i;&
ametrópico.	 ,&metR'OpikU
ametístea.	 ,&metS'iste&
ametístico.	 ,&metS'istSikU
amezinhável.	 ,&mezin^'aveU
amezínio.	 ,&mez'injU
amígdala.	 ,&m'igId&l&
AMH.	 '&~N
amhárico.	 ,&~N'a*ikU
Ami.	 &~m'i
amial.	 ,&mi;'aU
amialeiro.	 ,&mi;al'eI*U
amialite.	 ,&mi;al'itSy
amialito.	 ,&mi;al'itU
Amiano.	 ,&mi;'&~nU
amiantáceo.	 ,&mi;&~Nt'aseU
amiantiforme.	 ,&mi;,&~NtSif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amiantinina.	 ,&mi;,&~NtSin'in&
amiantinite.	 ,&mi;,&~NtSin'itSy
amiantinito.	 ,&mi;,&~NtSin'itU
amiantino.	 ,&mi;&~NtS'inU
amiantite.	 ,&mi;&~NtS'itSy
amiantito.	 ,&mi;&~NtS'itU
amianto.	 ,&mi;'&~NtU
amiantoide.	 ,&mi;&~Nt'OIdZy
amiantose.	 ,&mi;&~Nt'Ozy
amiantótico.	 ,&mi;&~Nt'OtSikU
amiara.	 ,&mi;'a*&
amiatite.	 ,&mi;atS'itSy
amiatito.	 ,&mi;atS'itU
amibíase.	 ,&mib'i;&zy
amibócito.	 ,&mib'OsitU
amibídeo.	 ,&mib'idZjU
amibiano.	 ,&mibi;'&~nU
amibiforme.	 ,&mibif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amibismo.	 ,&mib'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amibogênio.	 ,&miboZ'enjU
amiboide.	 ,&mib'OIdZy
amibose.	 ,&mib'Ozy
amiboísmo.	 ,&mibo'izmU
mbrola: Warning: z-m unkown, replaced with _-_
amibosporídeo.	 ,&mib,ospo*'idZjU
amibozigoto.	 ,&mib,ozig'otU
amibúria.	 ,&mib'u*j&
amibúrico.	 ,&mib'u*ikU
amicacina.	 ,&mikas'in&
amical.	 ,&mik'aU
amicarbalida.	 ,&mik,a*@-bal'id&
mbrola: Warning: r-b unkown, replaced with _-_
amicícia.	 ,&mis'isj&
amichelar.	 ,&miSel'ar
amicibona.	 ,&misib'on&
amiciclina.	 ,&misikl'in&
Amiclas.	 ,&m'ikl&s
amicleano.	 ,&mikle'&~nU
amicles.	 ,&m'iklys
amicleu.	 ,&mikl'eU
amicrônico.	 ,&mikR'onikU
amicrose.	 ,&mikR'Ozy
amicíssimo.	 ,&mis'isimU
amicto.	 ,&m'iktU
amictogênese.	 ,&miktoZ'enezy
amidalar.	 ,&midal'ar
amidalase.	 ,&midal'azy
amidalato.	 ,&midal'atU
amidalácea.	 ,&midal'ase&
amidalectomia.	 ,&mid,alektom'i;&
amidalífero.	 ,&midal'ife*U
amidalóforo.	 ,&midal'Ofo*U
amidaliano.	 ,&mid,ali;'&~nU
amidaliforme.	 ,&mid,alif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amidalino.	 ,&midal'inU
amidalite.	 ,&midal'itSy
amidalito.	 ,&midal'itU
amidalólito.	 ,&midal'OlitU
amidalínico.	 ,&midal'inikU
amidaloglosso.	 ,&mid,alogl'OsU
amidaloide.	 ,&midal'OIdZy
amidalomo.	 ,&midal'omU
amidalopatia.	 ,&mid,alopatS'i;&
amidalotomia.	 ,&mid,alotom'i;&
amidalotripsia.	 ,&mid,alotRips'i;&
amidalítico.	 ,&midal'itSikU
amidalótomo.	 ,&midal'OtomU
amidantel.	 ,&mid&~Nt'EU
amidação.	 ,&midas'&U~
amidapsona.	 ,&midaps'on&
amidar.	 ,&mid'ar
amidaria.	 ,&mida*'i;&
amidefrina.	 ,&midefR'in&
amiádeo.	 ,&mi;'adZjU
amideria.	 ,&mide*'i;&
amideto.	 ,&mid'EtU
amidálase.	 ,&mid'al&zy
amidálea.	 ,&mid'ale&
amidálico.	 ,&mid'alikU
amidólise.	 ,&mid'Olizy
amidão.	 ,&mid'&U~
amido.	 ,&m'idU
amidoacetal.	 ,&mid,oaset'aU
amidoacetofenetidina.	 ,&mid,oas,etof,enetSidZ'in&
amidoacético.	 ,&mid,oas'EtSikU
amidoantipirina.	 ,&mid,o&~NtS,ipi*'in&
amidoar.	 ,&mido'ar
amidoazobenzossulfônico.	 ,&mid,oaz,obeINz,osuwf'onikU
amidoazotoluol.	 ,&mid,oaz,otolw'Ol
amidobenzilamina.	 ,&mid,obeINz,il&m'in&
amidobenzílico.	 ,&mid,obeINz'ilikU
amidobenzoico.	 ,&mid,obeINz'OIkU
amidobenzol.	 ,&mid,obeINz'Ol
amidobutilbenzol.	 ,&mid,obutS,iUbeINz'Ol
amidocafeína.	 ,&mid,okafe'in&
amidocaprônico.	 ,&mid,okapR'onikU
amidocarbônico.	 ,&mid,oka*@-b'onikU
mbrola: Warning: r-b unkown, replaced with _-_
amidoácido.	 ,&mido'asidU
amidocinâmico.	 ,&mid,osin'&~mikU
amidociro.	 ,&midos'i*U
amidocânfora.	 ,&midok'&~Nfo*&
amidocrotônico.	 ,&mid,okRot'onikU
amidodextrose.	 ,&mid,odestR'Ozy
amidodicloropurina.	 ,&mid,odZikl,o*opu*'in&
amidodracílico.	 ,&mid,odRas'ilikU
amidoestricnina.	 ,&mid,oestR,ikIn'in&
amidoetilpiperonílico.	 ,&mid,oetS,iUpip,e*on'ilikU
amidoetilsulfônico.	 ,&mid,oetS,iUsuwf'onikU
amidoetílico.	 ,&mid,oetS'ilikU
amidofenilvaleriânico.	 ,&mid,ofen,iUvale*j'&~nikU
amidofenina.	 ,&mid,ofen'in&
amidofenitacético.	 ,&mid,ofen,itas'EtSikU
amidofenólico.	 ,&mid,ofen'OlikU
amidofenínico.	 ,&mid,ofen'inikU
amidofenol.	 ,&mid,ofen'Ol
amidoglicocola.	 ,&mid,oglikok'Ol&
amidoglicolato.	 ,&mid,oglikol'atU
amidogênio.	 ,&midoZ'enjU
amidoidrólise.	 ,&mid,oidR'Olizy
amidoidrolítico.	 ,&mid,oidRol'itSikU
amidoisetiônico.	 ,&mid,oIzetSj'onikU
amidol.	 ,&mid'Ol
amidolado.	 ,&midol'adU
amidoleucito.	 ,&mid,oleUs'itU
amidoleucítico.	 ,&mid,oleUs'itSikU
amidolítico.	 ,&midol'itSikU
amido-mosqueado.	 ,&m'idUm,oske'adU
amidonaftalina.	 ,&mid,onafItal'in&
amidonaftólico.	 ,&mid,onafIt'OlikU
amidonaftol.	 ,&mid,onafIt'Ol
amidonaftolsulfônico.	 ,&mid,onafIt,owsuwf'onikU
amidonar.	 ,&midon'ar
amido-negro.	 ,&m'idUn'egRU
amidoneto.	 ,&midon'etU
amidonita.	 ,&midon'it&
amidopipitzaoico.	 ,&mid,opip,itSIza'OIkU
amidopiridina.	 ,&mid,opi*idZ'in&
amidopirina.	 ,&mid,opi*'in&
amidopodocárpico.	 ,&mid,opodok'a*@-pikU
mbrola: Warning: r-p unkown, replaced with _-_
amido-preto.	 ,&m'idUpR'etU
amidopropilbenzólico.	 ,&mid,opRop,iUbeINz'OlikU
amidopropilbenzol.	 ,&mid,opRop,iUbeINz'Ol
amidoquinolina.	 ,&mid,okinol'in&
amidose.	 ,&mid'Ozy
amidos-mosqueados.	 ,&m'idUsm,oske'adUs
amidos-negros.	 ,&m'idUsn'egRUs
amidoso.	 ,&mid'ozU
amidos-pretos.	 ,&m'idUspR'etUs
amidossalicílico.	 ,&mid,osalis'ilikU
amidossalol.	 ,&mid,osal'Ol
amidossuccínico.	 ,&mid,osukIs'inikU
amidossulfossalicílico.	 ,&mid,osuwf,osalis'ilikU
amidotereftálico.	 ,&mid,ote*,efIt'alikU
amidotimol.	 ,&mid,otSim'Ol
amidotoluico.	 ,&mid,otol'uIkU
amidotoluólico.	 ,&mid,otolw'OlikU
amidotoluol.	 ,&mid,otolw'Ol
amidoureia.	 ,&midow*'eI;&
amidovaleriânico.	 ,&mid,ovale*j'&~nikU
amidovalérico.	 ,&mid,oval'E*ikU
amidovalério.	 ,&mid,oval'E*jU
amidoxiantraquinona.	 ,&mid,oksi;,&~NtRakin'on&
amidoxibenzoato.	 ,&mid,oksib,eINzo'atU
amidoxibenzoico.	 ,&mid,oksibeINz'OIkU
amidoxilol.	 ,&mid,oksil'Ol
amidoxima.	 ,&midoks'im&
amidrazidina.	 ,&midR,azidZ'in&
amidrazona.	 ,&midRaz'on&
amidro.	 ,&m'idRU
amidóstomo.	 ,&mid'OstomU
amidureto.	 ,&midu*'EtU
amieiral.	 ,&mi;eI*'aU
amieiro.	 ,&mi;'eI*U
amieiro-negro.	 ,&mi;'eI*Un'egRU
amieiros-negros.	 ,&mi;'eI*Usn'egRUs
Amiel.	 ,&mi;'EU
amielencefalia.	 ,&mi;,eleINs,efal'i;&
amielia.	 ,&mi;el'i;&
amieloneuria.	 ,&mi;,eloneU*'i;&
amielonêurico.	 ,&mi;,elon'eU*ikU
amielotrófico.	 ,&mi;,elotR'OfikU
amielotrofia.	 ,&mi;,elotRof'i;&
amiencéfalo.	 ,&mi;eINs'Ef&lU
amienense.	 ,&mi;en'eINsy
amiense.	 ,&mi;'eINsy
amifenazol.	 ,&mif,enaz'Ol
amiflamina.	 ,&mifl&m'in&
amifloverina.	 ,&mifl,ove*'in&
amifloxacino.	 ,&mifl,oksas'inU
amifostina.	 ,&mifostS'in&
amiga da onça.	 ,&m'ig& da 'oNs&
amigalhaço.	 ,&migal^'asU
amigalhão.	 ,&migal^'&U~
amigalhona.	 ,&migal^'on&
amigalhote.	 ,&migal^'OtSy
amiganço.	 ,&mig'&~NsU
amigação.	 ,&migas'&U~
amigaço.	 ,&mig'asU
amigar.	 ,&mig'ar
amigas da onça.	 ,&m'ig&s da 'oNs&
amigdalar.	 ,&migIdal'ar
amigdalase.	 ,&migIdal'azy
amigdalato.	 ,&migIdal'atU
amigdaláceo.	 ,&migIdal'aseU
amigdalectômico.	 ,&migId,alekt'omikU
amigdalectomia.	 ,&migId,alektom'i;&
amigdalífero.	 ,&migIdal'ife*U
amigdalóforo.	 ,&migIdal'Ofo*U
amigdaliano.	 ,&migId,ali;'&~nU
amigdaliforme.	 ,&migId,alif'O*@-my
mbrola: Warning: r-m unkown, replaced with _-_
amigdalino.	 ,&migIdal'inU
amigdalite.	 ,&migIdal'itSy
amigdalito.	 ,&migIdal'itU
amigdalólito.	 ,&migIdal'OlitU
amigdalínico.	 ,&migIdal'inikU
amigdaloglosso.	 ,&migId,alogl'OsU
amigdaloglóssico.	 ,&migId,alogl'OsikU
amigdaloide.	 ,&migIdal'OIdZy
amigdaloipocampectomia.	 ,&migId,aloIp,ok&~Np,ektom'i;&
amigdalomo.	 ,&migIdal'omU
